100,"3/22/2004,14:38:22",picked up,in transit,21
101,"9/22/2001,9:54:37",picked up,in transit,172
102,"4/15/2015,12:05:00",picked up,in transit,81
103,"10/4/2012,15:52:54",picked up,in transit,43
104,"9/14/2015,9:55:06",picked up,in transit,45
105,"8/19/2018,12:41:14",picked up,in transit,191
106,"4/20/2001,8:44:58",picked up,in transit,70
107,"7/29/2012,13:34:49",picked up,in transit,74
108,"4/3/2007,12:11:53",picked up,in transit,94
109,"1/7/2011,8:57:23",picked up,in transit,22
110,"1/26/2012,12:30:20",picked up,in transit,17
111,"9/26/2008,16:38:32",picked up,in transit,100
112,"2/2/2016,8:16:24",picked up,in transit,131
113,"2/13/2015,13:36:00",picked up,in transit,132
114,"4/2/2008,11:46:57",picked up,in transit,188
115,"4/7/2018,10:20:09",picked up,in transit,15
116,"9/25/2003,10:55:41",picked up,in transit,4
117,"10/25/2003,16:33:10",picked up,in transit,18
118,"5/8/2004,13:55:16",picked up,in transit,72
119,"7/23/2011,9:11:15",picked up,in transit,76
120,"12/1/2003,11:58:49",picked up,in transit,138
121,"6/9/2005,13:40:57",picked up,in transit,91
122,"12/2/2015,15:40:55",picked up,in transit,81
123,"8/20/2012,13:40:44",picked up,in transit,69
124,"3/12/2004,15:45:25",picked up,in transit,86
125,"10/20/2006,15:32:08",picked up,in transit,56
126,"11/10/2004,16:14:14",picked up,in transit,87
127,"3/24/2006,16:57:54",picked up,in transit,185
128,"8/13/2017,16:53:03",picked up,in transit,69
129,"1/20/2013,12:22:23",picked up,in transit,87
130,"4/28/2003,12:44:53",picked up,in transit,7
131,"11/29/2014,11:00:04",picked up,in transit,118
132,"12/11/2002,12:06:46",picked up,in transit,67
133,"9/9/2003,10:54:53",picked up,in transit,166
134,"8/20/2005,13:14:08",picked up,in transit,68
135,"6/17/2003,12:04:02",picked up,in transit,45
136,"4/9/2007,11:32:14",picked up,in transit,130
137,"8/19/2006,14:55:15",picked up,in transit,173
138,"8/31/2015,15:37:20",picked up,in transit,154
139,"3/15/2009,15:45:51",picked up,in transit,129
140,"3/14/2006,12:54:55",picked up,in transit,147
141,"9/21/2018,9:28:24",picked up,in transit,103
142,"7/28/2012,15:44:13",picked up,in transit,38
143,"8/7/2008,16:08:06",picked up,in transit,39
144,"6/6/2017,13:14:30",picked up,in transit,144
145,"11/9/2018,8:41:59",picked up,in transit,88
146,"7/13/2011,9:15:53",picked up,in transit,141
147,"10/25/2001,15:49:40",picked up,in transit,57
148,"2/19/2007,9:07:30",picked up,in transit,65
149,"8/28/2007,14:43:47",picked up,in transit,181
150,"10/8/2010,8:15:12",picked up,in transit,7
151,"5/29/2011,15:44:21",picked up,in transit,191
152,"7/2/2007,11:12:12",picked up,in transit,11
153,"10/22/2008,12:50:16",picked up,in transit,189
154,"3/24/2012,15:30:20",picked up,in transit,104
155,"9/13/2008,8:20:37",picked up,in transit,98
156,"1/26/2007,8:37:00",picked up,in transit,89
157,"11/10/2018,16:10:33",picked up,in transit,110
158,"12/24/2012,12:39:02",picked up,in transit,73
159,"12/26/2013,15:03:05",picked up,in transit,36
160,"2/22/2004,14:06:52",picked up,in transit,5
161,"5/31/2018,14:20:42",picked up,in transit,88
162,"8/8/2012,13:41:02",picked up,in transit,108
163,"10/28/2010,11:56:20",picked up,in transit,187
164,"10/8/2014,14:35:01",picked up,in transit,140
165,"8/1/2001,12:00:13",picked up,in transit,179
166,"2/10/2017,12:41:57",picked up,in transit,177
167,"2/4/2009,11:53:28",picked up,in transit,127
168,"4/24/2009,11:24:40",picked up,in transit,191
169,"2/21/2012,8:40:21",picked up,in transit,37
170,"3/19/2017,13:45:14",picked up,in transit,163
171,"11/5/2006,8:06:40",picked up,in transit,91
172,"11/12/2009,12:20:49",picked up,in transit,142
173,"12/25/2006,13:57:12",picked up,in transit,172
174,"9/12/2010,16:51:18",picked up,in transit,151
175,"1/20/2016,12:41:52",picked up,in transit,162
176,"9/30/2016,10:59:18",picked up,in transit,119
177,"5/3/2006,15:02:34",picked up,in transit,87
178,"1/21/2011,9:33:02",picked up,in transit,76
179,"5/11/2006,14:40:38",picked up,in transit,64
180,"2/13/2005,13:01:47",picked up,in transit,48
181,"6/4/2010,11:31:14",picked up,in transit,135
182,"11/19/2015,10:15:55",picked up,in transit,99
183,"11/15/2007,11:28:51",picked up,in transit,176
184,"8/13/2017,10:37:57",picked up,in transit,33
185,"2/20/2016,13:59:09",picked up,in transit,146
186,"7/9/2015,11:56:26",picked up,in transit,177
187,"6/19/2006,14:56:36",picked up,in transit,161
188,"3/17/2016,14:24:00",picked up,in transit,196
189,"5/24/2018,14:11:46",picked up,in transit,149
190,"6/29/2018,14:31:25",picked up,in transit,58
191,"4/4/2001,13:28:22",picked up,in transit,75
192,"10/5/2007,12:38:03",picked up,in transit,5
193,"5/2/2012,12:54:15",picked up,in transit,24
194,"5/23/2012,11:05:17",picked up,in transit,76
195,"2/21/2018,16:51:18",picked up,in transit,183
196,"1/9/2011,11:57:29",picked up,in transit,151
197,"7/6/2014,14:12:05",picked up,in transit,134
198,"10/23/2007,16:15:58",picked up,in transit,62
199,"3/12/2010,14:39:20",picked up,in transit,83
200,"7/21/2014,8:59:51",picked up,in transit,59
201,"8/25/2005,16:46:44",picked up,in transit,131
202,"6/16/2017,13:48:40",picked up,in transit,15
203,"12/11/2014,11:52:47",picked up,in transit,3
204,"9/28/2011,16:07:22",picked up,in transit,173
205,"2/18/2014,10:55:08",picked up,in transit,52
206,"6/6/2011,9:12:30",picked up,in transit,71
207,"8/19/2011,8:50:25",picked up,in transit,80
208,"4/26/2016,16:16:44",picked up,in transit,54
209,"10/16/2014,8:18:49",picked up,in transit,61
210,"11/6/2003,12:12:49",picked up,in transit,103
211,"3/31/2011,12:26:22",picked up,in transit,59
212,"2/3/2007,13:31:12",picked up,in transit,77
213,"11/15/2002,10:51:13",picked up,in transit,123
214,"2/2/2005,11:40:35",picked up,in transit,34
215,"2/2/2011,13:29:36",picked up,in transit,172
216,"6/22/2013,12:59:09",picked up,in transit,111
217,"12/28/2004,13:43:21",picked up,in transit,27
218,"1/29/2006,10:30:25",picked up,in transit,153
219,"10/22/2005,11:33:05",picked up,in transit,10
220,"12/23/2013,15:45:02",picked up,in transit,131
221,"5/7/2006,11:06:13",picked up,in transit,188
222,"9/9/2003,14:47:56",picked up,in transit,100
223,"5/21/2009,14:51:44",picked up,in transit,88
224,"8/31/2011,9:12:51",picked up,in transit,92
225,"11/26/2001,14:26:08",picked up,in transit,156
226,"5/18/2007,12:28:30",picked up,in transit,2
227,"11/12/2008,12:12:41",picked up,in transit,51
228,"3/6/2011,9:57:18",picked up,in transit,99
229,"10/14/2016,13:57:41",picked up,in transit,23
230,"7/15/2012,10:28:21",picked up,in transit,89
231,"2/17/2008,14:36:51",picked up,in transit,3
232,"9/14/2011,13:41:20",picked up,in transit,123
233,"5/1/2009,9:43:30",picked up,in transit,145
234,"11/10/2007,11:35:29",picked up,in transit,135
235,"9/8/2005,12:27:11",picked up,in transit,143
236,"5/14/2006,15:35:00",picked up,in transit,82
237,"2/19/2017,11:24:22",picked up,in transit,85
238,"1/7/2009,16:59:57",picked up,in transit,112
239,"9/9/2017,15:04:41",picked up,in transit,32
240,"5/18/2014,16:37:25",picked up,in transit,47
241,"3/6/2012,11:43:10",picked up,in transit,192
242,"3/30/2015,12:56:03",picked up,in transit,147
243,"5/1/2014,12:06:51",picked up,in transit,82
244,"4/15/2010,16:20:32",picked up,in transit,21
245,"12/15/2005,16:17:32",picked up,in transit,27
246,"2/10/2006,12:50:33",picked up,in transit,136
247,"7/22/2001,15:52:19",picked up,in transit,63
248,"10/23/2005,13:09:38",picked up,in transit,15
249,"11/24/2006,11:43:01",picked up,in transit,179
250,"1/11/2005,16:58:48",picked up,in transit,5
251,"6/25/2005,14:32:42",picked up,in transit,125
252,"9/2/2011,13:06:26",picked up,in transit,147
253,"2/2/2009,13:49:57",picked up,in transit,135
254,"11/7/2003,8:42:27",picked up,in transit,37
255,"8/13/2003,10:00:34",picked up,in transit,15
256,"6/24/2006,11:01:19",picked up,in transit,98
257,"4/13/2007,13:10:45",picked up,in transit,160
258,"10/7/2008,13:08:33",picked up,in transit,72
259,"5/22/2017,15:04:16",picked up,in transit,159
260,"5/25/2016,9:15:16",picked up,in transit,10
261,"2/21/2002,12:38:33",picked up,in transit,139
262,"7/1/2004,16:30:56",picked up,in transit,21
263,"7/16/2017,8:27:59",picked up,in transit,32
264,"6/1/2004,14:43:00",picked up,in transit,158
265,"10/13/2016,12:55:51",picked up,in transit,118
266,"3/20/2013,11:30:00",picked up,in transit,106
267,"9/3/2018,14:17:11",picked up,in transit,9
268,"11/23/2013,12:38:28",picked up,in transit,150
269,"1/22/2007,14:09:01",picked up,in transit,107
270,"1/15/2007,10:34:37",picked up,in transit,95
271,"3/4/2002,12:29:12",picked up,in transit,151
272,"12/27/2008,8:36:32",picked up,in transit,196
273,"9/20/2015,14:10:03",picked up,in transit,59
274,"5/30/2008,8:11:08",picked up,in transit,35
275,"12/3/2010,10:27:30",picked up,in transit,43
276,"4/15/2008,8:25:39",picked up,in transit,22
277,"9/14/2014,14:05:00",picked up,in transit,6
278,"2/17/2004,13:04:58",picked up,in transit,159
279,"1/29/2003,14:55:17",picked up,in transit,186
280,"9/5/2010,9:05:07",picked up,in transit,66
281,"2/23/2009,14:31:09",picked up,in transit,19
282,"1/21/2010,11:21:15",picked up,in transit,54
283,"9/3/2015,8:39:18",picked up,in transit,43
284,"1/16/2015,9:44:07",picked up,in transit,96
285,"11/22/2001,14:37:35",picked up,in transit,4
286,"12/12/2007,14:09:04",picked up,in transit,66
287,"10/11/2005,8:20:33",picked up,in transit,24
288,"6/8/2016,10:59:21",picked up,in transit,95
289,"6/26/2011,10:14:49",picked up,in transit,24
290,"8/1/2003,8:42:25",picked up,in transit,192
291,"7/2/2001,8:49:02",picked up,in transit,8
292,"6/27/2003,9:02:35",picked up,in transit,111
293,"1/16/2009,14:19:27",picked up,in transit,159
294,"12/24/2013,15:14:00",picked up,in transit,181
295,"6/28/2018,11:58:31",picked up,in transit,163
296,"12/19/2010,11:04:18",picked up,in transit,161
297,"2/25/2015,13:00:08",picked up,in transit,145
298,"12/8/2004,10:24:37",picked up,in transit,139
299,"12/30/2006,16:07:52",picked up,in transit,2
300,"6/24/2002,16:54:56",picked up,in transit,124
301,"6/6/2009,15:50:50",picked up,in transit,95
302,"5/31/2017,14:02:25",picked up,in transit,82
303,"4/15/2002,14:10:14",picked up,in transit,152
304,"12/16/2005,9:48:12",picked up,in transit,12
305,"11/20/2014,9:24:42",picked up,in transit,195
306,"3/1/2002,10:51:08",picked up,in transit,46
307,"9/8/2015,8:28:43",picked up,in transit,97
308,"6/27/2001,16:32:10",picked up,in transit,111
309,"3/16/2010,9:54:03",picked up,in transit,124
310,"11/3/2008,8:26:40",picked up,in transit,166
311,"11/30/2016,14:28:56",picked up,in transit,160
312,"10/21/2016,12:33:16",picked up,in transit,42
313,"2/28/2002,10:37:48",picked up,in transit,195
314,"11/17/2002,12:22:37",picked up,in transit,105
315,"11/6/2009,15:39:11",picked up,in transit,35
316,"1/5/2011,12:50:53",picked up,in transit,62
317,"5/3/2015,16:51:15",picked up,in transit,159
318,"7/25/2011,13:04:12",picked up,in transit,40
319,"1/2/2013,14:45:09",picked up,in transit,144
320,"6/18/2003,15:29:47",picked up,in transit,122
321,"2/12/2018,9:04:52",picked up,in transit,27
322,"4/19/2011,12:55:48",picked up,in transit,36
323,"10/8/2014,10:30:10",picked up,in transit,185
324,"5/19/2011,9:22:49",picked up,in transit,133
325,"8/5/2016,16:50:43",picked up,in transit,73
326,"3/29/2011,8:34:12",picked up,in transit,51
327,"6/17/2018,10:10:04",picked up,in transit,184
328,"10/18/2008,16:28:04",picked up,in transit,49
329,"4/8/2002,8:28:10",picked up,in transit,104
330,"5/2/2018,9:14:26",picked up,in transit,89
331,"7/19/2010,9:41:19",picked up,in transit,13
332,"7/5/2007,10:20:57",picked up,in transit,75
333,"1/23/2013,8:13:41",picked up,in transit,82
334,"3/13/2007,15:17:48",picked up,in transit,118
335,"6/23/2004,15:17:19",picked up,in transit,57
336,"1/5/2010,16:12:52",picked up,in transit,119
337,"8/17/2015,13:47:59",picked up,in transit,173
338,"4/28/2006,12:53:00",picked up,in transit,156
339,"8/25/2017,8:31:04",picked up,in transit,97
340,"10/4/2017,15:50:18",picked up,in transit,125
341,"5/4/2009,8:20:38",picked up,in transit,121
342,"4/26/2007,16:35:15",picked up,in transit,179
343,"8/20/2011,14:27:19",picked up,in transit,16
344,"7/12/2012,9:08:15",picked up,in transit,13
345,"3/30/2014,13:50:50",picked up,in transit,15
346,"6/1/2014,8:09:37",picked up,in transit,120
347,"11/27/2007,16:26:14",picked up,in transit,17
348,"12/16/2009,15:24:34",picked up,in transit,32
349,"11/3/2002,11:15:23",picked up,in transit,74
350,"7/11/2007,12:08:06",picked up,in transit,116
351,"4/1/2010,9:01:00",picked up,in transit,113
352,"4/5/2018,13:23:00",picked up,in transit,86
353,"5/6/2016,12:46:23",picked up,in transit,20
354,"7/3/2004,15:23:24",picked up,in transit,154
355,"7/23/2011,10:57:28",picked up,in transit,127
356,"12/18/2012,10:48:25",picked up,in transit,105
357,"8/13/2010,16:20:14",picked up,in transit,105
358,"8/10/2007,10:48:30",picked up,in transit,36
359,"5/19/2016,11:29:53",picked up,in transit,122
360,"5/5/2007,14:09:04",picked up,in transit,124
361,"3/21/2003,16:19:07",picked up,in transit,152
362,"1/2/2016,10:36:11",picked up,in transit,188
363,"11/30/2006,8:45:19",picked up,in transit,122
364,"7/10/2006,10:03:55",picked up,in transit,171
365,"2/17/2008,12:34:44",picked up,in transit,113
366,"5/19/2017,10:44:24",picked up,in transit,137
367,"4/2/2008,10:36:03",picked up,in transit,94
368,"11/15/2018,8:55:21",picked up,in transit,53
369,"12/14/2001,15:00:21",picked up,in transit,68
370,"1/9/2016,16:25:42",picked up,in transit,134
371,"3/13/2003,11:02:57",picked up,in transit,119
372,"8/23/2014,8:20:20",picked up,in transit,71
373,"1/2/2009,13:36:35",picked up,in transit,178
374,"10/18/2003,15:17:06",picked up,in transit,133
375,"6/13/2011,12:58:14",picked up,in transit,92
376,"9/15/2010,12:09:02",picked up,in transit,127
377,"4/10/2008,12:13:53",picked up,in transit,168
378,"4/2/2015,13:06:23",picked up,in transit,178
379,"6/1/2012,8:08:42",picked up,in transit,48
380,"2/8/2013,14:28:32",picked up,in transit,63
381,"10/31/2018,11:20:22",picked up,in transit,161
382,"4/27/2001,8:40:42",picked up,in transit,57
383,"5/26/2005,11:34:02",picked up,in transit,147
384,"4/27/2009,11:38:49",picked up,in transit,59
385,"10/16/2011,16:52:57",picked up,in transit,173
386,"9/27/2001,8:44:19",picked up,in transit,74
387,"4/25/2012,15:29:10",picked up,in transit,190
388,"4/24/2015,16:43:16",picked up,in transit,46
389,"5/20/2011,10:53:42",picked up,in transit,160
390,"8/15/2005,15:22:17",picked up,in transit,99
391,"11/26/2009,9:40:46",picked up,in transit,98
392,"2/25/2013,10:08:12",picked up,in transit,113
393,"11/3/2010,12:33:33",picked up,in transit,122
394,"6/15/2007,8:28:37",picked up,in transit,59
395,"5/8/2002,15:54:31",picked up,in transit,166
396,"2/9/2008,13:52:03",picked up,in transit,100
397,"6/14/2017,12:58:35",picked up,in transit,105
398,"4/11/2012,13:05:11",picked up,in transit,55
399,"11/27/2010,8:41:22",picked up,in transit,5
400,"2/19/2012,8:56:26",picked up,in transit,197
401,"10/21/2018,9:53:03",picked up,in transit,70
402,"1/6/2008,8:20:53",picked up,in transit,15
403,"7/23/2003,10:06:54",picked up,in transit,3
404,"11/19/2002,8:30:33",picked up,in transit,58
405,"10/20/2017,15:55:06",picked up,in transit,192
406,"3/20/2002,15:47:33",picked up,in transit,3
407,"5/14/2012,15:56:14",picked up,in transit,12
408,"1/26/2017,15:27:11",picked up,in transit,18
409,"11/13/2015,16:20:56",picked up,in transit,190
410,"10/5/2008,11:07:36",picked up,in transit,182
411,"11/9/2003,16:32:54",picked up,in transit,104
412,"12/6/2009,8:51:29",picked up,in transit,24
413,"6/21/2014,11:11:02",picked up,in transit,85
414,"4/27/2008,8:16:06",picked up,in transit,5
415,"12/13/2013,8:56:47",picked up,in transit,106
416,"5/12/2009,16:49:51",picked up,in transit,190
417,"4/19/2017,9:05:11",picked up,in transit,81
418,"5/15/2002,9:56:34",picked up,in transit,54
419,"3/14/2015,12:52:10",picked up,in transit,47
420,"8/26/2012,8:33:35",picked up,in transit,194
421,"12/18/2011,16:54:17",picked up,in transit,125
422,"1/18/2003,11:00:54",picked up,in transit,64
423,"12/4/2004,12:33:00",picked up,in transit,109
424,"10/8/2001,12:39:53",picked up,in transit,92
425,"9/19/2012,10:27:51",picked up,in transit,155
426,"9/25/2003,10:20:10",picked up,in transit,184
427,"8/1/2018,14:59:53",picked up,in transit,118
428,"7/7/2007,13:45:56",picked up,in transit,190
429,"5/4/2014,8:16:32",picked up,in transit,101
430,"11/5/2017,10:03:10",picked up,in transit,52
431,"12/19/2007,15:26:00",picked up,in transit,30
432,"9/29/2008,16:26:23",picked up,in transit,128
433,"12/12/2003,16:27:16",picked up,in transit,72
434,"2/5/2014,13:46:10",picked up,in transit,14
435,"11/19/2006,14:32:20",picked up,in transit,41
436,"11/19/2005,10:24:14",picked up,in transit,17
437,"9/11/2001,10:26:27",picked up,in transit,27
438,"11/16/2018,13:47:00",picked up,in transit,43
439,"8/21/2003,16:49:51",picked up,in transit,67
440,"6/7/2010,14:40:02",picked up,in transit,89
441,"1/11/2013,15:28:34",picked up,in transit,18
442,"1/14/2016,14:44:51",picked up,in transit,110
443,"4/12/2014,14:02:42",picked up,in transit,111
444,"10/27/2002,12:54:32",picked up,in transit,152
445,"12/16/2013,9:37:20",picked up,in transit,136
446,"1/16/2008,12:47:43",picked up,in transit,148
447,"3/4/2006,13:54:46",picked up,in transit,88
448,"8/29/2016,14:50:28",picked up,in transit,199
449,"10/5/2018,9:26:15",picked up,in transit,32
450,"7/26/2010,10:09:56",picked up,in transit,195
451,"8/30/2014,12:11:29",picked up,in transit,31
452,"8/25/2001,8:43:48",picked up,in transit,51
453,"8/1/2016,13:38:12",picked up,in transit,174
454,"7/22/2017,13:38:07",picked up,in transit,60
455,"2/21/2018,8:17:22",picked up,in transit,188
456,"5/25/2018,15:37:37",picked up,in transit,109
457,"12/26/2008,16:36:32",picked up,in transit,77
458,"3/3/2005,13:37:12",picked up,in transit,59
459,"2/11/2013,9:28:13",picked up,in transit,5
460,"10/24/2016,10:05:38",picked up,in transit,85
461,"4/18/2004,15:56:50",picked up,in transit,57
462,"11/13/2001,12:36:07",picked up,in transit,172
463,"8/22/2005,13:33:01",picked up,in transit,65
464,"5/18/2005,10:00:54",picked up,in transit,107
465,"3/23/2004,14:53:24",picked up,in transit,176
466,"10/13/2009,14:52:10",picked up,in transit,172
467,"1/28/2005,16:15:53",picked up,in transit,139
468,"9/2/2009,14:50:55",picked up,in transit,42
469,"4/14/2004,16:40:39",picked up,in transit,131
470,"10/5/2009,15:03:08",picked up,in transit,131
471,"1/2/2002,14:29:31",picked up,in transit,14
472,"5/9/2008,14:47:54",picked up,in transit,124
473,"11/9/2013,10:04:47",picked up,in transit,136
474,"10/16/2011,14:10:41",picked up,in transit,49
475,"12/4/2017,10:56:39",picked up,in transit,110
476,"5/10/2016,12:39:24",picked up,in transit,113
477,"7/31/2009,16:20:42",picked up,in transit,105
478,"4/2/2017,12:18:10",picked up,in transit,53
479,"6/5/2002,8:15:16",picked up,in transit,29
480,"10/7/2013,16:53:49",picked up,in transit,2
481,"2/21/2018,12:50:49",picked up,in transit,117
482,"3/6/2015,12:46:06",picked up,in transit,200
483,"10/25/2009,8:12:53",picked up,in transit,175
484,"3/7/2009,9:44:16",picked up,in transit,148
485,"7/24/2013,12:50:43",picked up,in transit,73
486,"1/16/2016,12:25:13",picked up,in transit,28
487,"8/2/2009,13:38:04",picked up,in transit,161
488,"12/10/2010,16:00:21",picked up,in transit,200
489,"5/9/2012,13:12:59",picked up,in transit,77
490,"1/18/2001,9:08:56",picked up,in transit,140
491,"11/15/2005,15:35:19",picked up,in transit,189
492,"1/24/2006,9:08:32",picked up,in transit,195
493,"5/18/2004,9:03:31",picked up,in transit,143
494,"5/24/2009,9:42:44",picked up,in transit,98
495,"6/22/2015,15:30:50",picked up,in transit,72
496,"10/25/2018,16:24:29",picked up,in transit,130
497,"4/22/2006,8:15:26",picked up,in transit,108
498,"8/21/2016,8:51:07",picked up,in transit,167
499,"11/26/2008,9:05:03",picked up,in transit,37
500,"6/10/2010,14:08:09",picked up,in transit,164
501,"3/19/2014,15:41:37",picked up,in transit,19
502,"7/7/2015,13:19:29",picked up,in transit,32
503,"2/1/2005,14:20:15",picked up,in transit,117
504,"9/21/2016,11:49:46",picked up,in transit,136
505,"5/23/2018,9:06:13",picked up,in transit,124
506,"4/16/2013,10:35:03",picked up,in transit,71
507,"6/7/2016,10:48:29",picked up,in transit,167
508,"6/20/2002,8:33:13",picked up,in transit,144
509,"8/9/2002,11:32:59",picked up,in transit,181
510,"9/17/2012,11:04:01",picked up,in transit,163
511,"2/10/2015,13:21:55",picked up,in transit,3
512,"12/25/2005,16:51:50",picked up,in transit,68
513,"4/13/2006,16:09:56",picked up,in transit,56
514,"9/5/2016,11:47:14",picked up,in transit,91
515,"4/26/2003,11:52:47",picked up,in transit,93
516,"5/17/2003,15:32:19",picked up,in transit,159
517,"6/30/2011,11:05:42",picked up,in transit,187
518,"2/9/2018,14:21:49",picked up,in transit,119
519,"11/30/2005,8:59:10",picked up,in transit,58
520,"4/28/2014,15:12:55",picked up,in transit,129
521,"9/19/2008,10:26:10",picked up,in transit,60
522,"8/24/2003,9:07:47",picked up,in transit,64
523,"8/22/2002,13:50:51",picked up,in transit,34
524,"2/9/2008,9:30:01",picked up,in transit,185
525,"8/16/2012,8:38:07",picked up,in transit,34
526,"12/31/2007,16:43:31",picked up,in transit,88
527,"10/25/2001,13:03:09",picked up,in transit,128
528,"11/6/2018,15:29:53",picked up,in transit,138
529,"12/25/2000,15:22:43",picked up,in transit,134
530,"6/12/2003,16:25:01",picked up,in transit,190
531,"10/10/2013,12:27:53",picked up,in transit,85
532,"6/13/2016,12:06:30",picked up,in transit,24
533,"3/10/2008,16:00:10",picked up,in transit,23
534,"5/25/2008,16:38:16",picked up,in transit,137
535,"5/27/2014,15:52:46",picked up,in transit,32
536,"10/12/2016,8:13:24",picked up,in transit,181
537,"10/12/2010,15:48:22",picked up,in transit,127
538,"7/11/2017,12:23:57",picked up,in transit,181
